lbs.,7,8,9,10,11,12,13,14,15,16
67,42.30,45.74,47.68,42.73,43.83,44.23,46.97,48.10,49.96,52.95
68,42.68,46.27,48.27,43.27,44.36,44.79,47.57,48.72,50.61,53.62
69,43.21,46.74,48.91,43.83,44.93,45.39,48.18,49.36,51.30,54.34
70,43.78,47.27,49.51,44.45,45.57,46.04,48.86,50.06,52.05,55.17
71,44.18,47.81,50.14,44.99,46.12,46.62,49.48,50.69,52.68,55.85
72,44.67,48.38,50.71,45.50,46.62,47.16,49.99,51.28,53.30,56.49
73,45.04,48.83,51.33,46.01,47.17,47.75,50.60,51.89,53.99,57.19
74,45.61,49.36,51.92,46.62,47.76,48.34,51.27,52.56,54.67,57.95
75,46.08,49.91,52.52,47.14,48.34,48.91,51.85,53.18,55.34,58.67
76,46.35,50.47,53.14,47.59,48.78,49.39,52.36,53.70,55.88,59.23
77,46.79,50.96,53.75,47.95,49.18,49.80,52.76,54.10,56.34,59.72
78,47.24,51.47,54.40,48.32,49.58,50.20,53.18,54.58,56.79,60.18
79,47.95,52.03,54.99,48.86,50.12,50.77,53.78,55.21,57.46,60.90
80,48.42,52.57,55.60,49.72,50.98,51.71,54.77,56.23,58.62,62.17
81,48.94,53.10,56.22,51.04,52.43,53.22,56.41,57.94,60.34,63.89
82,49.28,53.65,56.77,52.32,53.73,54.40,57.55,59.23,61.74,65.42
83,49.56,54.10,57.24,53.59,54.77,55.60,58.81,60.42,62.94,66.74
84,50.39,54.59,57.73,53.99,55.21,55.99,59.26,60.88,63.40,67.25
85,50.84,55.15,58.24,54.43,55.66,56.49,59.75,61.39,63.92,67.81
86,51.28,55.69,58.73,54.82,56.01,56.87,60.13,61.79,64.40,68.29
87,51.63,56.12,59.31,55.17,56.42,57.28,60.58,62.27,64.86,68.78
88,52.06,56.68,59.80,55.53,56.79,57.67,60.95,62.67,65.29,69.26
89,52.54,57.19,60.31,56.15,57.43,58.33,61.68,63.43,66.10,70.12
90,52.95,57.60,60.83,56.60,57.89,58.81,62.17,63.91,66.65,70.67
91,53.42,58.06,61.39,56.97,58.30,59.23,62.59,64.35,67.12,71.18
92,53.88,58.48,61.90,57.41,58.72,59.66,63.06,64.85,67.62,71.72
93,54.29,58.89,62.43,57.94,59.27,60.23,63.65,65.47,68.29,72.41
94,54.77,59.35,62.95,58.30,59.67,60.63,64.10,65.93,68.76,72.93
95,55.21,59.66,63.51,58.59,59.94,60.95,64.37,66.20,69.08,73.27
96,55.68,60.09,64.02,58.91,60.34,61.30,64.77,66.65,69.53,73.71
97,56.14,60.64,64.59,59.29,60.71,61.73,65.23,67.08,69.99,74.22
98,56.55,61.15,65.16,59.82,61.20,62.24,65.74,67.63,70.59,74.86
99,57.00,61.55,65.74,60.23,61.66,62.71,66.23,68.14,71.12,75.45
lbs.,,,,,,,,,,
100 - 154,0.60,0.65,0.70,0.67,0.68,0.72,0.75,0.78,0.81,0.86
"155 - 9,999",0.60,0.65,0.70,0.67,0.68,0.72,0.75,0.78,0.81,0.86
