lbs.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Envelope,,,,,,,,,,,,,,,,
,8.49,8.49,8.58,8.65,8.69,8.72,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.59,9.57,10.83
Pak,,,,,,,,,,,,,,,,
1,8.52,8.52,10.22,10.71,11.00,11.08,9.55,9.83,10.02,10.68,10.87,10.92,11.24,11.66,13.36,14.87
46,13.07,13.13,23.91,24.73,27.46,28.26,36.37,38.45,44.76,58.96,59.30,60.59,63.41,67.42,68.01,70.53
47,13.17,13.26,24.19,25.06,27.82,28.61,37.06,39.15,45.52,60.08,60.39,61.70,64.53,68.63,69.27,71.76
48,13.27,13.35,24.50,25.35,28.19,28.97,37.71,39.82,46.27,61.26,61.46,62.80,65.56,69.82,70.45,72.90
49,13.36,13.43,24.79,25.63,28.59,29.31,38.39,40.50,47.03,62.32,62.63,63.95,66.55,71.04,71.74,74.20
50,13.46,13.53,25.03,25.92,28.96,29.61,39.06,41.20,47.77,63.44,63.76,65.05,67.66,72.25,73.08,75.35
51,13.74,13.74,25.38,26.34,29.39,30.12,39.76,42.07,48.99,64.88,65.13,66.51,69.11,73.81,74.62,76.90
52,13.82,13.82,25.67,26.60,29.74,30.46,40.34,42.78,49.73,66.00,66.29,67.64,70.32,74.95,75.81,78.11
53,13.91,13.93,25.95,26.88,30.12,30.76,40.85,43.42,50.52,67.10,67.45,68.75,71.47,76.26,77.13,79.29
54,14.01,14.09,26.25,27.13,30.48,31.07,41.37,44.16,51.26,68.22,68.56,69.92,72.60,77.47,78.27,80.52
55,14.17,14.19,26.50,27.40,30.80,31.55,41.84,44.85,52.04,69.34,69.68,71.04,73.72,78.62,79.53,81.68
56,14.28,14.28,26.81,27.66,31.15,31.85,42.38,45.55,52.83,70.61,70.81,72.19,74.92,79.85,80.80,82.88
57,14.39,14.42,27.07,27.93,31.41,32.23,42.91,46.20,53.54,71.70,71.89,73.30,76.06,81.07,82.02,84.24
58,14.54,14.57,27.40,28.17,31.78,32.56,43.44,46.88,54.33,72.80,72.96,74.40,77.21,82.28,83.34,85.39
59,14.65,14.68,27.68,28.48,32.13,32.97,44.00,47.51,55.08,73.89,74.23,75.59,78.44,83.47,84.53,86.58
60,14.73,14.83,27.97,28.81,32.46,33.38,44.50,48.07,55.79,74.94,75.33,76.73,79.58,84.66,85.76,87.86
61,14.87,15.02,28.35,29.13,32.78,33.77,44.98,48.69,56.52,76.12,76.45,77.83,80.67,85.86,87.06,89.16
62,15.03,15.10,28.71,29.45,33.10,34.19,45.49,49.27,57.28,77.21,77.60,78.94,81.84,87.02,88.34,90.52
63,15.15,15.24,29.07,29.80,33.46,34.57,46.10,49.88,58.00,78.28,78.81,80.07,82.94,88.18,89.56,91.72
64,15.26,15.32,29.48,30.14,33.77,35.02,46.66,50.42,58.72,79.40,79.98,81.21,84.08,89.36,90.80,92.91
65,15.45,15.53,29.74,30.48,34.12,35.38,47.26,51.03,59.53,80.48,81.15,82.37,85.28,90.52,92.01,94.11
66,15.55,15.61,30.14,30.82,34.44,35.79,47.84,51.64,60.29,81.58,82.31,83.47,86.35,91.69,93.24,95.34
67,15.63,15.69,30.51,31.12,34.79,36.23,48.44,52.22,61.00,82.73,83.47,84.62,87.50,92.83,94.46,96.57
68,15.70,15.82,30.76,31.40,35.14,36.72,48.98,52.83,61.74,83.79,84.64,85.76,88.66,94.03,95.70,97.73
69,15.89,15.95,31.02,31.71,35.41,37.17,49.54,53.42,62.50,84.91,85.83,86.87,89.77,95.19,96.95,98.98
70,16.02,16.09,31.28,32.04,35.76,37.65,50.15,54.01,63.24,86.06,86.98,88.02,90.92,96.34,98.13,100.16
71,16.09,16.15,31.57,32.32,36.13,38.07,50.74,54.59,63.96,87.24,88.17,89.19,92.11,97.53,99.36,101.38
72,16.17,16.24,31.76,32.62,36.43,38.52,51.23,55.27,64.73,88.47,89.35,90.44,93.29,98.62,100.60,102.62
73,16.28,16.40,32.03,33.00,36.75,38.97,51.75,55.87,65.43,89.61,90.51,91.57,94.46,99.77,101.80,103.80
