lbs.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Envelope,,,,,,,,,,,,,,,,
,19.45,19.70,20.09,20.27,20.37,20.41,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.70
Pak,,,,,,,,,,,,,,,,
1,16.32,16.32,19.59,20.53,21.09,21.23,7.59,7.59,7.59,7.59,7.59,7.59,7.62,7.68,7.75,7.98
46,25.12,25.24,45.99,47.54,52.80,54.32,29.24,30.99,32.34,27.16,27.78,28.48,30.29,31.03,32.14,33.93
47,25.33,25.50,46.52,48.19,53.50,55.00,29.82,31.48,32.87,27.50,28.13,28.85,30.65,31.43,32.55,34.35
48,25.53,25.65,47.10,48.75,54.20,55.70,30.37,32.05,33.41,28.10,28.76,29.46,31.27,32.03,33.15,34.95
49,25.68,25.83,47.66,49.27,54.97,56.35,30.84,32.65,33.91,28.64,29.32,30.04,31.87,32.65,33.79,35.64
50,25.88,26.03,48.13,49.83,55.67,56.93,31.40,33.27,34.44,29.22,29.86,30.59,32.47,33.27,34.42,36.35
51,26.41,26.41,48.80,50.65,56.52,57.90,31.96,33.98,35.32,29.77,30.42,31.17,33.09,33.87,35.07,37.02
52,26.59,26.59,49.36,51.15,57.20,58.55,32.44,34.48,35.83,30.32,30.99,31.72,33.68,34.47,35.69,37.71
53,26.74,26.76,49.89,51.68,57.90,59.14,32.84,35.04,36.45,30.87,31.55,32.27,34.28,35.08,36.35,38.40
54,26.94,27.09,50.48,52.15,58.61,59.72,33.27,35.64,36.98,31.42,32.09,32.83,34.86,35.69,36.98,39.08
55,27.26,27.29,50.95,52.68,59.22,60.66,33.71,36.11,37.51,32.22,32.88,33.62,35.66,36.51,37.77,39.88
56,27.44,27.44,51.53,53.18,59.90,61.25,34.15,36.68,38.02,32.78,33.44,34.19,36.26,37.10,38.40,40.56
57,27.67,27.73,52.03,53.71,60.40,61.95,34.48,37.27,38.56,33.34,34.01,34.75,36.86,37.71,39.05,41.25
58,27.94,28.00,52.68,54.18,61.10,62.60,34.94,37.74,39.12,33.88,34.59,35.32,37.48,38.33,39.68,41.95
59,28.17,28.23,53.21,54.76,61.78,63.39,35.42,38.25,39.62,34.44,35.14,35.88,38.05,38.94,40.31,42.63
60,28.32,28.50,53.76,55.41,62.42,64.18,35.83,38.77,40.19,35.00,35.69,36.42,38.67,39.55,40.95,43.33
61,28.58,28.88,54.50,56.02,63.04,64.92,36.17,39.25,40.72,35.55,36.24,36.98,39.25,40.18,41.60,44.01
62,28.91,29.05,55.20,56.64,63.65,65.74,36.61,39.66,41.28,36.10,36.82,37.55,39.85,40.78,42.23,44.70
63,29.11,29.29,55.91,57.29,64.33,66.47,37.10,40.18,41.78,36.66,37.37,38.11,40.46,41.41,42.88,45.40
64,29.35,29.46,56.67,57.93,64.92,67.32,37.61,40.65,42.33,37.20,37.93,38.67,41.06,42.00,43.49,46.09
65,29.70,29.85,57.20,58.61,65.59,68.03,38.02,41.17,42.88,37.77,38.49,39.22,41.64,42.61,44.15,46.78
66,29.91,30.02,57.93,59.25,66.21,68.82,38.50,41.69,43.42,38.31,39.05,39.78,42.25,43.23,44.78,47.47
67,30.05,30.17,58.67,59.84,66.88,69.64,38.99,42.16,43.95,39.38,40.40,40.76,43.29,44.33,46.05,48.80
68,30.20,30.40,59.14,60.37,67.56,70.61,39.34,42.64,44.49,39.88,40.88,41.28,43.85,44.90,46.65,49.42
69,30.55,30.67,59.63,60.95,68.09,71.46,39.82,43.08,45.08,40.40,41.41,41.83,44.40,45.49,47.28,50.08
70,30.81,30.93,60.16,61.60,68.76,72.40,40.35,43.57,45.64,40.97,42.00,42.44,45.03,46.13,47.97,50.84
71,30.93,31.05,60.72,62.13,69.47,73.19,40.72,44.07,46.21,41.47,42.51,42.96,45.61,46.72,48.56,51.48
72,31.08,31.23,61.07,62.72,70.05,74.07,41.17,44.59,46.74,41.94,42.96,43.46,46.08,47.26,49.13,52.06
